english,name,type,dosage,disposition
PREDNISOLONE,پردنیزولون,قرص,50 mg,خوراکی 
AMPICILLIN / SULBACTAM,آمپی باکتام,پودر,2 g/1 g g,برای تهیه محلول تزریقی پرنترال
EMICIZUMAB,هملیبرا,محلول,30 mg/1mL 1 mg,تزریقی پرنترال
IBUPROFEN / METHOCARBAMOL,روبوسانته,قرص,200 mg/500 mg,خوراکی 
BISMUTH SUBCITRATE EQU. TO BISMUTH OXIDE,بیسموتان,قرص,120 mg,خوراکی 
SODIUM TETRADECYL SULFATE,فیبرووین,تزریقی,0.5 % 2 mL,پرنترال 
ABIRATERONE ACETATE,زایبرون,قرص,500 mg,خوراکی 
CYTARABINE,سیتاسدال,محلول,20 mg/1mL 50 mL,تزریقی پرنترال
PROPRANOLOL HYDROCHLORIDE,پرانول,قرص,20 mg,خوراکی 
SODIUM CHLORIDE,هایپرسالین,محلول,5 % 50 mL,تزریقی داخل وریدی
CLEMASTINE,کلماستین,تزریقی,1 mg/1mL 2 mL,پرنترال 
PROGESTERONE,کرینون,ژل,8 % 22.5 g,واژینال 
LEVODOPA / BENSERAZIDE,ماینوپار,قرص,100 mg/25 mg,خوراکی 
ACETAMINOPHEN / CODEINE PHOSPHATE,استامینوفن/کدئین مینو,قرص,300 mg/20 mg,خوراکی 
PEGASPARGASE,همسیل,محلول,750 [iU]/1mL 5 [iU],تزریقی پرنترال
NAPROXEN,ناپروکسن سها,قرص,250 mg,خوراکی 
SIMETHICONE (DIMETHICONE ACTIVATED),سایمتیکون-حکیم,کپسول,125 mg,حاوی مایع خوراکی
SIMETHICONE (DIMETHICONE ACTIVATED),دایمکت,قرص,125 mg,جویدنی خوراکی
LETROZOLE,فماتی,قرص,2.5 mg,خوراکی 
FLUCONAZOLE,آوی فلوزول,قرص,150 mg,خوراکی 
TRIAMTERENE / HYDROCHLOROTHIAZIDE,تریامترن-اچ,قرص,50 mg/25 mg,خوراکی 
METFORMIN HYDROCHLORIDE,ریوفاژ,قرص,500 mg,خوراکی 
COAGULATION FACTOR VIII (RECOMBINANT),کوآگیت,پودر,1000 [iU] [iU],لئوفیلیزه برای تهیه محلول تزریقی پرنترال
CHLORAMPHENICOL,رافیکول,"محلول،",0.5 % 10 mL,قطره چشمی
SILODOSIN,سیلادر,کپسول,8 mg,خوراکی 
BISMUTH SUBCITRATE EQU. TO BISMUTH OXIDE,بیسمانتین,قرص,120 mg,خوراکی 
METOCLOPRAMIDE (AS HYDROCHLORIDE),متوپامید,تزریقی,5 mg/1mL 2 mL,پرنترال 
NOREPINEPHRINE (AS BITARTRATE),نوراپی نفرین,محلول,1 mg/1mL 4 mL,غلیظ تزریقی پرنترال
EXPECTORANT CODEINE,موکورانت-سی,شربت,100 mg/30 mg/10 mg/5 mL 60 mL,خوراکی 
BROMHEXINE HYDROCHLORIDE,برم هگزین سوفارما,تزریقی,2 mg/1mL 2 mL,پرنترال 
PIROXICAM,پیروکسیکام عماد,ژل,0.5 g/100g 60 g,موضعی 
MIRTAZAPINE,رپیزاپین,قرص,45 mg,خوراکی 
LIDOCAINE / HYDROCORTISONE ACETATE,لیدوکائین اچ-عماد,,5 %/0.5 % 15 g,پماد مقعدی
BISOPROLOL FUMARATE / HYDROCHLOROTHIAZIDE,پروفام-اچ,قرص,2.5 mg/6.25 mg,خوراکی 
ASA (ACETYLSALICYLIC ACID),آ اس آ-جالینوس,قرص,100 mg,جویدنی خوراکی
CHLORDIAZEPOXIDE,پوکساکیم,قرص,5 mg,خوراکی 
GABAPENTIN,گاباپنتین آریا,کپسول,100 mg,خوراکی 
RIVAROXABAN,زاریوان,قرص,20 mg,خوراکی 
BETAMETHASONE (AS VALERATE),بتاژیل,پماد,0.1 % 15 g,موضعی 
IOHEXOL,امنی گرف,تزریقی,300 mg/1mL 50 mg,پرنترال 
ACICLOVIR,آوی سیکلوویر,قرص,200 mg,خوراکی 
ADULT COLD PREPARATIONS (4-1),کلد استاپ,قرص,500 mg/5 mg/25 mg,خوراکی 
APIXABAN,آپیکساتد,قرص,2.5 mg,خوراکی 
LEVODOPA / BENSERAZIDE,تادوبن,قرص,200 mg/50 mg,خوراکی 
BISOPROLOL FUMARATE,زبرال,قرص,10 mg,خوراکی 
GOSERELIN (AS ACETATE),رسلیگو,ایمپلنت,10.8 mg,پرنترال 
MESALAZINE,مزالون,شیاف,500 mg,مقعدی 
LORATADINE,لوراتکس,قرص,10 mg,خوراکی 
MODAFINIL,پروفینیل,قرص,100 mg,خوراکی 
IBUPROFEN (AS LYSINE),ایبوپروفن لایزین,,400 mg,قرص خوراکی
MIRABEGRON,میرابگرون,قرص,25 mg,پیوسته رهش خوراکی
BORTEZOMIB,ولبورت,پودر,2.5 mg mg,برای تهیه فرآورده تزریقی پرنترال
SUMATRIPTAN (AS SUCCINATE),بایوتریپتان,قرص,100 mg,خوراکی 
KETOCONAZOLE,ساپو-کتوکونازول,شامپو,2 % 100 mL,موضعی 
KETOCONAZOLE,کتوکونازول سها,قرص,200 mg,خوراکی 
FLUOCINOLONE ACETONIDE,فلوسینولون,کرم,0.025 % 15 g,موضعی 
POVIDONE IODINE,پوویدون آیداین,محلول,10 % 1000 mL,موضعی 
BISOPROLOL FUMARATE,پروفام,قرص,10 mg,خوراکی 
ITRACONAZOLE,ایتراکس,کپسول,100 mg,خوراکی 
FLUOXETINE (AS HYDROCHLORIDE),میراسر,قرص,10 mg,خوراکی 
CLOTRIMAZOLE,آفی تریمازول,کرم,1 % 15 g,موضعی 
QUETIAPINE (AS FUMARATE),سروتیاپین,قرص,100 mg,خوراکی 
FINERENONE,کورنو,قرص,20 mg,خوراکی 
HEMODIALYSIS CONCENTRATED III ACIDIC,محلول همودیالیز اسیدی غلیظ سه,محلول,3710 meq/35 meq/105 meq/87.5 meq/3902.5 meq/122.5 meq/70 g 4920 mL,غلیظ همودیالیز
APOMORPHINE HYDROCHLORIDE,داسپتون,تزریقی,5 mg/1mL 20 mg,پرنترال 
SPIRONOLACTONE,اسپیداکتون,قرص,100 mg,خوراکی 
OXYCODONE HYDROCHLORIDE,اکسی کدون,قرص,30 mg,خوراکی 
CEFIXIME,زاکسیم,قرص,200 mg,خوراکی 
PEMETREXED (AS DISODIUM),پمکسد,پودر,500 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
FENOFIBRATE,سبانتیل,کپسول,200 mg,خوراکی 
PERPHENAZINE,پرفنازین,قرص,4 mg,خوراکی 
GADOBUTROL,گادوویست,تزریقی,604.72 mg/1mL 15 mL,پرنترال 
URSODEOXYCHOLIC ACID,اورسودئوکسی کولیک اسید,قرص,500 mg,خوراکی 
BISOPROLOL FUMARATE,بیسوتا,قرص,2.5 mg,خوراکی 
VALGANCICLOVIR (AS HYDROCHLORIDE),گاناوال,قرص,450 mg,خوراکی 
RINGER LACTATE,رینگر لاکتات,محلول,500 L,تزریقی داخل وریدی
COLISTIMETHATE SODIUM,کولیمیت,پودر,2000000 [iU] [iU],برای تهیه محلول تزریقی پرنترال
BETAMETHASONE (AS DISODIUM PHOSPHATE),بتامتازون-ناژو,پماد,0.1 % 3 g,چشمی 
SIMPLE EYE,لوبراتکس,پماد,3.5 g,چشمی 
ACETAMINOPHEN,آمیفن,قرص,125 mg,بازشونده در دهان خوراکی
EPOETIN,پی دی پویتین,تزریقی,20000 [iU]/1mL 0.5 [iU],پرنترال 
ADULT COLD PREPARATIONS (4-4),کلد آوت,قرص,325 mg/10 mg/25 mg,خوراکی 
LACOSAMIDE,اپیلامید,قرص,200 mg,خوراکی 
BEMPEDOIC ACID,بمپکس,قرص,180 mg,خوراکی 
TRASTUZUMAB EMTANSINE,کدسایلا,پودر,100 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
DESLORATADINE,لورکستادین,قرص,5 mg,خوراکی 
GALANTAMINE (AS HYDROBROMIDE),آلزامین,قرص,4 mg,خوراکی 
POVIDONE IODINE,پوویدون آیداین-دارو درمان,محلول,10 % 1000 mL,موضعی 
WARFARIN SODIUM,وارکلات,قرص,5 mg,خوراکی 
PRIMIDONE,لیسکانتین سافت,سوسپانسیون,125 mg/5mL 250 g,خوراکی 
DEXTROSE / SODIUM CHLORIDE,دکستروز / سدیم کلراید,محلول,3.33 %/0.3 % 500 mL,تزریقی داخل وریدی
TORSEMIDE,تورزماید,قرص,5 mg,خوراکی 
OXALIPLATIN,اکسالی پلاتین اکویدا,محلول,5 mg/1mL 20 mg,غلیظ تزریقی پرنترال
LEVODOPA / CARBIDOPA FORTE,لوودوپا-سی فورت جالینوس,قرص,250 mg/25 mg,خوراکی 
EXEMESTANE,اگزمستان نورمون,قرص,25 mg,خوراکی 
COAGULATION FACTOR VIII (RECOMBINANT),کوآگیت,پودر,500 [iU] [iU],لئوفیلیزه برای تهیه محلول تزریقی پرنترال
DACTINOMYCIN,داکتوما,پودر,0.5 mg mg,برای تهیه محلول تزریقی پرنترال
DAPOXETINE (AS HYDROCHLORIDE),داپیکو,قرص,30 mg,خوراکی 
FEXOFENADINE HYDROCHLORIDE,فکسوفنادین,قرص,60 mg,خوراکی 
BUDESONIDE,بودزوناید,اسپری,64 ug/1{dose} 120 mL,از راه بینی
MONTELUKAST (AS SODIUM),مونته لوکاست,قرص,10 mg,خوراکی 
FLUPENTHIXOL DECANOATE,میتیکسول,تزریقی,20 mg/1mL 1 mg,پرنترال 
CLINDAMYCIN (AS PHOSPHATE),کلیندامایسین-ناژو,کرم,2 % 40 g,واژینال 
RISPERIDONE,رسپیروز,قرص,2 mg,خوراکی 
VALPROATE SODIUM,والپروات سدیم,شربت,200 mg/5mL 120 mL,خوراکی 
CLINDAMYCIN (AS PHOSPHATE),کلیندامایسین,تزریقی,150 mg/1mL 4 mL,پرنترال 
TRIFLUOPERAZINE,تری فلوئوپرازین,,5 mg,قرص خوراکی
FINERENONE,کینرین,قرص,10 mg,خوراکی 
BRIVARACETAM,بریواکین,قرص,100 mg,خوراکی 
MEGESTROL ACETATE,برندوکر,قرص,20 mg,خوراکی 
ACETAMINOPHEN,استامینوفن بهسا,,120 mg/5mL 60 mL,محلول خوراکی
ADULT COLD PREPARATIONS (4-7),مگافن سینوس کلد,قرص,500 mg/10 mg/25 mg,خوراکی 
BUDESONIDE,یوسناید,قرص,9 mg,پیوسته رهش خوراکی
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,امپاور پلاس,قرص,12.5 mg/1000 mg,خوراکی 
CARBOPLATIN,ابکاربو,محلول,10 mg/1mL 15 mg,غلیظ تزریقی داخل وریدی
ONDANSETRON (AS HYDROCHLORIDE),ومترال,تزریقی,2 mg/1 mL 2 mL,پرنترال 
PROPYLTHIOURACIL,پرواوراسیل,قرص,50 mg,خوراکی 
BORTEZOMIB,بورتزومیب,پودر,3.5 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
ABIRATERONE ACETATE,ابیراترون,قرص,500 mg,خوراکی 
CALCITRIOL,اف دی تی کلسیتوژل,کپسول,0.25 ug,حاوی مایع خوراکی
DAPAGLIFLOZIN (AS PROPANEDIOL) / METFORMIN HYDROCHLORIDE,فاکسیبت پلاس,قرص,5 mg/500 mg,پیوسته رهش خوراکی
LIDOCAINE HYDROCHLORIDE,لیدوکائین هیدروکلراید,محلول,4 % 5 mL,تزریقی پرنترال
BICALUTAMIDE,بیکالومید,قرص,50 mg,خوراکی 
RIVAROXABAN,زارکسا,قرص,10 mg,خوراکی 
DICLOFENAC SODIUM,دیکلوفناک سدیم,قرص,50 mg,انتریک کوتد خوراکی
LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE,هیزارید,قرص,50 mg/12.5 mg,خوراکی 
LEVOFLOXACIN,لینوکین,قرص,500 mg,خوراکی 
CEFUROXIME (AS AXETIL),فارینات,قرص,500 mg,خوراکی 
PROCARBAZINE (AS HYDROCHLORIDE),ناتولان,کپسول,50 mg,خوراکی 
CARBOPLATIN,کربوپلات,محلول,10 mg/1mL 5 mL,غلیظ تزریقی داخل وریدی
TENOFOVIR DISOPROXIL FUMARATE,تدووین,قرص,300 mg,خوراکی 
SELEGILINE HYDROCHLORIDE,سلژیلین,قرص,5 mg,خوراکی 
TESTOSTERONE ENANTHATE,تستوسترون انانتات,تزریقی,100 mg/1mL mL,پرنترال 
BENDAMUSTINE HYDROCHLORIDE,بندانیت,پودر,25 mg mg,برای تهیه محلول تزریقی پرنترال
METHYLPREDNISOLONE (AS SODIUM SUCCINATE),سولو-مدرول,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
ACETAMINOPHEN / CAFFEINE / CODEINE PHOSPHATE,کدافئین,قرص,300 mg/15 mg/15 mg,خوراکی 
SERTRALINE (AS HYDROCHLORIDE),آسنترا,قرص,50 mg,خوراکی 
APIXABAN,الاکوئیت,قرص,5 mg,خوراکی 
VITAMIN B1 / VITAMIN B6 / VITAMIN B12,اکتوبیون,تزریقی,100 mg/100 mg/1000 ug/3mL mL,پرنترال 
HYDRALAZINE HYDROCHLORIDE,آپو-هیدرالازین,قرص,10 mg,خوراکی 
TRIAMCINOLONE ACETONIDE,تریامسینولون,کرم,0.1 % 15 g,موضعی 
ARTIFICIAL TEARS,تیرلوز,"محلول،",0.3 % 10 mL,قطره چشمی
ACETAMINOPHEN / DIPHENHYDRAMINE / PHENYLEPHRINE,ستادین-دی,شربت,160 mg/12.5 mg/2.5 mg/5mL 200 mL,خوراکی 
CICLOSPORIN,سیکلوفیل می,کپسول,25 mg,حاوی مایع خوراکی
OZANIMOD (AS HYDROCHLORIDE),ولوسیا,کپسول,0.92 mg,خوراکی 
IMATINIB (AS MESYLATE),ایماتینیب,قرص,400 mg,خوراکی 
RIVAROXABAN,زارکسا,قرص,20 mg,خوراکی 
VITAMIN B1 / VITAMIN B6 / VITAMIN B12,دی پی تریویت,تزریقی,100 mg/100 mg/1000 ug/3mL mL,پرنترال 
CLARITHROMYCIN,کلاریترومایسین,قرص,500 mg,خوراکی 
AMLODIPINE (AS BESILATE),نوروین,قرص,5 mg,خوراکی 
CO-AMOXICLAV,فارمنتین بی دی,پودر,200 mg/28.5 mg/5 mL 100 mL,برای تهیه سوسپانسیون خوراکی
GLATIRAMER ACETATE,اکتیرامر,محلول,40 mg/1mL mg,تزریقی پرنترال
ELTROMBOPAG (AS OLAMINE),پلیتی پگ,قرص,50 mg,خوراکی 
INSULIN GLARGINE,پرسیتوس دی پی,تزریقی,100 [iU]/1mL 3 [iU],پرنترال 
BROMHEXINE HYDROCHLORIDE,برم هگزین هیدروکلراید,محلول,4 mg/5mL 60 mL,خوراکی 
TRIAMCINOLONE NN,تریامسینولون ان ان-عماد,پماد,1 mg/2.5 mg/100000 [iU]/1g 15 g,موضعی 
FUSIDIC ACID / HYDROCORTISONE ACETATE,فوزیسید-اچ,کرم,2 %/1 % 15 g,موضعی 
BISOPROLOL FUMARATE / HYDROCHLOROTHIAZIDE,بیسوتا اچ سی تی,قرص,5 mg/12.5 mg,خوراکی 
CLOTRIMAZOLE,کلو-ژین,شیاف,100 mg,واژینال 
ACETAMINOPHEN,استاپرل,کپسول,500 mg,با روکش ژلاتین خوراکی
IRON (AS SUCROSE),هماتوفر,تزریقی,20 mg/1mL 5 mL,داخل وریدی
GUAIFENESIN,گایافنزین-عماد,شربت,100 mg/5mL 60 mL,خوراکی 
CLARITHROMYCIN,کلاریسین,قرص,250 mg,خوراکی 
DULOXETINE,دلوکسیما,کپسول,30 mg,انتریک کوتد خوراکی
AMLODIPINE (AS BESILATE),آملوژین,قرص,5 mg,خوراکی 
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,جاردی پلاس,قرص,5 mg/1000 mg,خوراکی 
HYDRALAZINE HYDROCHLORIDE,وانا هیدرالازین,قرص,25 mg,خوراکی 
FINERENONE,فینرنال,قرص,10 mg,خوراکی 
VALSARTAN / HYDROCHLOROTHIAZIDE,پانامیکس,قرص,80 mg/12.5 mg,خوراکی 
OMEPRAZOLE,رزاپرازول,کپسول,) 20 mg,(پلت های انتریک کوتد خوراکی
GUAIFENESIN,جی-ماکس,شربت,100 mg/5mL 60 mL,خوراکی 
VONOPRAZAN (AS FUMARATE),فورایز,قرص,10 mg,خوراکی 
DESLORATADINE,آوه تادین,قرص,5 mg,خوراکی 
ALBUMIN (HUMAN),آلبومین,محلول,20 % 50 mL,تزریقی پرنترال
BRIMONIDINE TARTRATE,بریموگان,"محلول،",0.2 % 5 mL,قطره چشمی
IPRATROPIUM BROMIDE,ایپرانازال,اسپری,21 ug/1{Puff} 25 {dose},با دوز اندازه گیری شده از راه بینی
LEVETIRACETAM,لوسیژر,قرص,500 mg,خوراکی 
TRIFLUOPERAZINE,تری فلوئوپرازین,,2 mg,قرص خوراکی
IBUPROFEN,ایبو پروفن,قرص,800 mg,پیوسته رهش خوراکی
LORATADINE,لوراپرل,کپسول,10 mg,حاوی مایع خوراکی
ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE / SIMETHICONE,آدی ژل-اس,سوسپانسیون,225 mg/200 mg/25 mg/5mL 10 mL,خوراکی 
FILGRASTIM,تیناگراست,تزریقی,600 ug/1mL 0.5 mL,پرنترال 
ALBENDAZOLE,کینگازول,قرص,400 mg,جویدنی خوراکی
ATOMOXETINE HYDROCHLORIDE,استراتین,کپسول,10 mg,خوراکی 
ACICLOVIR,زوویرامین,پودر,200 mg/5mL 120 g,برای تهیه سوسپانسیون خوراکی
GLYCERIN,گلیسرین-بهوزان,شیاف,2 g,مقعدی 
EPLERENONE,اپرونا,قرص,50 mg,خوراکی 
TIZANIDINE,تیزانیدین,قرص,4 mg,خوراکی 
HYDROCORTISONE ACETATE,هیدروکورتیزون-ناژو,پماد,1 % 15 g,موضعی 
PANTOPRAZOLE (AS SODIUM SESQUIHYDRATE),پنزول,قرص,40 mg,انتریک کوتد خوراکی
SAPROPTERIN DIHYDROCHLORIDE,تیراوا,قرص,100 mg,حل شونده خوراکی
AMLODIPINE (AS BESILATE) / BISOPROLOL FUMARATE,آملودیپین/بیزوپرولول,قرص,10 mg/10 mg,خوراکی 
INDOMETHACIN,ایندوکیم,کپسول,25 mg,خوراکی 
FENOFIBRATE,تریرول,کپسول,200 mg,خوراکی 
ESOMEPRAZOLE,نکسیتور,کپسول,40 mg,انتریک کوتد خوراکی
METHYLTESTOSTERONE,متیل تستوسترون,,25 mg,قرص خوراکی
GABAPENTIN,گاباسد,کپسول,300 mg,خوراکی 
SACUBITRIL / VALSARTAN,اسکادیا,قرص,97 mg/103 mg,خوراکی 
SODIUM CHLORIDE,دی بی-سالین,اسپری,0.65 % 20 mL,از راه بینی
ZONISAMIDE,زونیساماید,کپسول,100 mg,خوراکی 
LIDOCAINE,لیدوکائین نیکسادا,اسپری,10 mg/1{dose} 50 mL,موضعی 
HYDROXYUREA,مداروکسی,کپسول,500 mg,خوراکی 
MOMETASONE FUROATE,مومتازون-بهوزان,پماد,0.1 % 30 g,موضعی 
EVEROLIMUS,سرتیکان,قرص,0.75 mg,خوراکی 
POVIDONE IODINE,فارمادین,محلول,10 % 60 mL,موضعی 
ASA (ACETYLSALICYLIC ACID),آ.اس.آ-حکیم,قرص,81 mg,انتریک کوتد خوراکی
LOTEPREDNOL ETABONATE,لوتویژن-پی بی ای,"سوسپانسیون،",0.5 % 5 mL,قطره چشمی
ESOMEPRAZOLE (AS MAGNESIUM),اس امپرازول - ثنامد,کپسول,40 mg,انتریک کوتد خوراکی
PREGABALIN,نورفیبکس,کپسول,50 mg,خوراکی 
BOSENTAN,فارانتان,قرص,125 mg,خوراکی 
ACETAMINOPHEN,استامینوفن-حکیم,قرص,325 mg,خوراکی 
MEMANTINE HYDROCHLORIDE,آلزانتین,قرص,5 mg,خوراکی 
ESTRADIOL (AS HEMIHYDRATE),جیناتی,قرص,10 ug,واژینال 
MESALAZINE,آفیلازین,شیاف,500 mg,مقعدی 
CAPTOPRIL,کاپتوپریل-اکسیر,قرص,50 mg,خوراکی 
THEOPHYLLINE / GUAIFENESIN,تئوزین,محلول,50 mg/30 mg/5mL 120 mL,خوراکی 
HEPATITIS B IMMUNE GLOBULIN,ایمونو اچ بی اس,تزریقی,180 [iU]/1mL 1 [iU],پرنترال 
METOPROLOL TARTRATE,متوتار,قرص,50 mg,خوراکی 
GLYCERIN,لاکسرین,شیاف,1 g,مقعدی 
IBUPROFEN,جالیفن,کپسول,200 mg,حاوی مایع خوراکی
TRANYLCYPROMINE,تریون,قرص,10 mg,خوراکی 
ARIPIPRAZOLE,آریپیپرازول,قرص,10 mg,خوراکی 
METRONIDAZOLE,آمیزول,قرص,250 mg,خوراکی 
DAPAGLIFLOZIN (AS PROPANEDIOL) / METFORMIN HYDROCHLORIDE,گلوکسیگا-ام,قرص,5 mg/1000 mg,پیوسته رهش خوراکی
RINGERS,رینگر,,500 mL,محلول تزریقی داخل وریدی
ACETAMINOPHEN,استاگروفن,قرص,500 mg,خوراکی 
ROSUVASTATIN (AS CALCIUM),لیپروز,,5 mg,قرص خوراکی
DOCETAXEL,الوتر,محلول,20 mg/1mL 8 mg,تزریقی داخل وریدی
MIDAZOLAM,میداماکس,تزریقی,5 mg/1mL 3 mL,پرنترال 
FLUTICASONE PROPIONATE,کاتوسین,اینهالر,250 ug/1{dose} 120 {Puff},استنشاقی 
TOPIRAMATE,توپیرامات,قرص,50 mg,خوراکی 
BETAMETHASONE LA (BETAMETHASONE AS DISODIUM PHOSPHATE / BETAMETHASONE ACETATE),بکلومر,سوسپانسیون,3 mg/3 mg/1mL mg,تزریقی پیوسته رهش پرنترال
ADENOSINE,آدنوکا,تزریقی,3 mg/1mL 2 mL,پرنترال 
REPAGLINIDE,رپاگین,قرص,1 mg,خوراکی 
POVIDONE IODINE,پوویدون آیداین-دارو درمان,محلول,10 % 1000 mL,موضعی 
LEVETIRACETAM,الپرا,قرص,500 mg,خوراکی 
TOBRAMYCIN,توبامیست,,60 mg/1mL 5 mL,محلول استنشاقی
TADALAFIL,تاداکیم,قرص,20 mg,خوراکی 
TRIFLUOPERAZINE,تری فلوزیک,تزریقی,1 mg/1mL 1 mL,عضلانی 
PIOGLITAZONE,پیوگلیتازون - ثنامد,قرص,15 mg,خوراکی 
BISOPROLOL FUMARATE / HYDROCHLOROTHIAZIDE,بیسوتا اچ سی تی,قرص,2.5 mg/6.25 mg,خوراکی 
SACUBITRIL / VALSARTAN,ساکوبیتریل / والسارتان,قرص,97 mg/103 mg,خوراکی 
ISOTRETINOIN,آکنوترن,کپسول,20 mg,حاوی مایع خوراکی
PANCREATIN,پانگرول,کپسول,) 25000 [iU],(پلت های انتریک کوتد خوراکی
SORAFENIB (AS TOSYLATE),نکسوفنیب,قرص,200 mg,خوراکی 
HYOSCINE-N-BUTYL BROMIDE,هیوسین-ان- بوتیل بروماید,تزریقی,20 mg/1mL mL,پرنترال 
BISOPROLOL FUMARATE,بتالکو,قرص,5 mg,خوراکی 
TRIAMCINOLONE NN,تریامسینولون ان ان-ناژو,پماد,1 mg/2.5 mg/100000 [iU]/1g 15 g,موضعی 
DUTASTERIDE / TAMSULOSIN,آولوسین,کپسول,0.5 mg/0.4 mg,خوراکی 
ACETAMINOPHEN,ولوتیل,"محلول،",100 mg/1mL 15 mL,قطره خوراکی
ERYTHROMYCIN,اریترومایسین-سپیداج,محلول,4 % 60 mL,موضعی 
PREGABALIN,رایپیکا,کپسول,150 mg,خوراکی 
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE,فلوتیکورت پلاس,آئروسل,25 ug/250 ug/1{dose} 120 {dose},با دوز اندازه گیری شده استنشاقی
DICLOFENAC SODIUM,لوفدیک,شیاف,100 mg,مقعدی 
BUSPIRONE HYDROCHLORIDE,بروین,قرص,5 mg,خوراکی 
VALSARTAN,آدوان,قرص,40 mg,خوراکی 
FLUOROURACIL,نسیل,تزریقی,50 mg/1mL 5 mL,پرنترال 
AZITHROMYCIN,آزپین,قرص,500 mg,خوراکی 
BORTEZOMIB,بورتزومیب,پودر,3.5 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
DAPAGLIFLOZIN (AS PROPANEDIOL) / METFORMIN HYDROCHLORIDE,گلوداپلاس,قرص,5 mg/850 mg,خوراکی 
CHLORDIAZEPOXIDE,للوکساید,قرص,5 mg,خوراکی 
ARIPIPRAZOLE,سروزول,قرص,10 mg,خوراکی 
CLOBETASOL PROPIONATE,کلوبتازول-ناژو,پماد,0.05 % 15 g,موضعی 
MINOXIDIL,ماینوکسیدیل-ناژو,محلول,20 mg/1mL 60 mL,موضعی 
LORATADINE,لودیمین,قرص,10 mg,خوراکی 
COLISTIMETHATE SODIUM,کلوونت,پودر,4500000 [iU] [iU],برای تهیه محلول تزریقی پرنترال
VITAMIN B1 (THIAMINE),تیام ویت,قرص,100 mg,خوراکی 
ALBUMIN (HUMAN),آلبونورم,محلول,20 % 50 g,تزریقی پرنترال
PRAMIPEXOLE (AS DIHYDROCHLORIDE),رستین,قرص,0.18 mg,خوراکی 
LOSARTAN POTASSIUM,لوزاتن,قرص,25 mg,خوراکی 
ACETAMINOPHEN / CAFFEINE / CODEINE PHOSPHATE,استامینوفن/کافئین/کدئین,قرص,300 mg/15 mg/15 mg,خوراکی 
DICLOFENAC SODIUM,لوفدیک,شیاف,50 mg,مقعدی 
TRIMIPRAMINE (AS MALEATE),تریمیپرامین,"محلول،",4 % 30 mL,قطره خوراکی
SALBUTAMOL (AS SULFATE),سالبوتامول,قرص,2 mg,خوراکی 
CLONAZEPAM,کلونازپام آریا,قرص,2 mg,خوراکی 
QUETIAPINE (AS FUMARATE),ترانکوپین,قرص,100 mg,خوراکی 
AMLODIPINE (AS BESILATE) / VALSARTAN,اکتوور والوسپ,قرص,5 mg/160 mg,خوراکی 
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,پگلیمت,قرص,5 mg/1000 mg,پیوسته رهش خوراکی
PREGABALIN,گاباپرل,کپسول,300 mg,خوراکی 
LOTEPREDNOL ETABONATE,لوتمکس,پماد,0.5 % 3.5 g,چشمی 
TELMISARTAN / HYDROCHLOROTHIAZIDE,تلمیک-اچ,قرص,80 mg/12.5 mg,خوراکی 
AMLODIPINE (AS BESILATE) / BISOPROLOL FUMARATE,آملودیپین/بیزوپرولول,قرص,5 mg/5 mg,خوراکی 
VALACYCLOVIR,ویرالیپ,قرص,500 mg,خوراکی 
PRILOCAINE / FELYPRESSIN,دنتانست,تزریقی,30 mg/0.54 ug/1mL 1.8 mL,پرنترال 
PROTAMINE SULFATE,پروتامین,تزریقی,10 mg/1mL 5 [iU],پرنترال 
OMEPRAZOLE (AS SODIUM),امپیتکس,پودر,40 mg mg,برای تهیه محلول تزریقی پرنترال
DAPAGLIFLOZIN (AS PROPANEDIOL),داکسلا,قرص,5 mg,خوراکی 
PROPRANOLOL HYDROCHLORIDE,روزانول,قرص,20 mg,خوراکی 
IRON (AS SUCROSE),آیرون سوکروز,تزریقی,20 mg/1mL 5 mL,داخل وریدی
IBUPROFEN / METHOCARBAMOL,روباکوفن,قرص,200 mg/500 mg,خوراکی 
INSULIN REGULAR,لانسولین آر,تزریقی,100 [iU]/1mL 3 mL,پرنترال 
SIMETHICONE (DIMETHICONE ACTIVATED),دایمتیکون,"سوسپانسیون،",40 mg/1mL 30 mL,قطره خوراکی
METRONIDAZOLE,فلاژیکس,قرص,500 mg,خوراکی 
FLUOCINOLONE / HYDROQUINONE / TRETINOIN,ژانولوما,کرم,0.01 %/4 %/0.05 % 15 g,موضعی 
CONJUGATED ESTROGENS,استرین,کرم,0.625 mg/1g 42.5 g,واژینال 
CEFALEXIN,آفالکس,کپسول,500 mg,خوراکی 
ATENOLOL,آتنولول-سبحان,قرص,100 mg,خوراکی 
INTERFERON BETA-1A,آونکس,تزریقی,12000000 [iU]/1mL 0.5 ug,پرنترال 
